,Tournament,League,Link,DateTime UTC,Gamelength,Team1,Team2,Team1Score,Team2Score,WinTeam,Team,ID,Nationality,Country,Birthdate,Region,Short
36,All-Star 2015 Los Angeles,2015 ASE,Faker,2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
37,All-Star 2015 Los Angeles,2015 ASE,Faker,2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
38,All-Star 2015 Los Angeles,2015 ASE,Froggen,2015-12-11 01:05:00,27:33,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
39,All-Star 2015 Los Angeles,2015 ASE,Froggen,2015-12-12 03:52:00,31:24,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
40,All-Star 2015 Los Angeles,2015 ASE,Froggen,2015-12-12 22:43:00,33:06,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
41,All-Star 2015 Los Angeles,2015 ASE,Froggen,2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
42,All-Star 2015 Los Angeles,2015 ASE,Froggen,2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
43,All-Star 2015 Los Angeles,2015 ASE,Froggen,2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
44,All-Star 2015 Los Angeles,2015 ASE,Froggen,2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
45,All-Star 2015 Los Angeles,2015 ASE,Huni,2015-12-11 01:05:00,27:33,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
46,All-Star 2015 Los Angeles,2015 ASE,Huni,2015-12-12 03:52:00,31:24,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
47,All-Star 2015 Los Angeles,2015 ASE,Huni,2015-12-12 22:43:00,33:06,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
48,All-Star 2015 Los Angeles,2015 ASE,Huni,2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
49,All-Star 2015 Los Angeles,2015 ASE,Huni,2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
50,All-Star 2015 Los Angeles,2015 ASE,Huni,2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
51,All-Star 2015 Los Angeles,2015 ASE,Huni,2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
52,All-Star 2015 Los Angeles,2015 ASE,Karsa,2015-12-11 04:39:00,29:04,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
53,All-Star 2015 Los Angeles,2015 ASE,Karsa,2015-12-12 03:52:00,31:24,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
54,All-Star 2015 Los Angeles,2015 ASE,Karsa,2015-12-13 02:09:00,29:46,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
55,All-Star 2015 Los Angeles,2015 ASE,kaSing,2015-12-11 01:05:00,27:33,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
56,All-Star 2015 Los Angeles,2015 ASE,kaSing,2015-12-12 03:52:00,31:24,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
57,All-Star 2015 Los Angeles,2015 ASE,kaSing,2015-12-12 22:43:00,33:06,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
58,All-Star 2015 Los Angeles,2015 ASE,kaSing,2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
59,All-Star 2015 Los Angeles,2015 ASE,kaSing,2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
60,All-Star 2015 Los Angeles,2015 ASE,kaSing,2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
61,All-Star 2015 Los Angeles,2015 ASE,kaSing,2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
62,All-Star 2015 Los Angeles,2015 ASE,Kira,2015-12-11 06:59:00,22:22,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
63,All-Star 2015 Los Angeles,2015 ASE,Kira,2015-12-12 00:57:00,34:44,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
64,All-Star 2015 Los Angeles,2015 ASE,Kira,2015-12-13 02:09:00,29:46,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
65,All-Star 2015 Los Angeles,2015 ASE,Koro1,2015-12-11 04:39:00,29:04,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
66,All-Star 2015 Los Angeles,2015 ASE,Koro1,2015-12-12 05:38:00,33:05,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
67,All-Star 2015 Los Angeles,2015 ASE,Koro1,2015-12-13 03:59:00,39:10,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
68,All-Star 2015 Los Angeles,2015 ASE,LeX,2015-12-11 06:59:00,22:22,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
69,All-Star 2015 Los Angeles,2015 ASE,LeX,2015-12-12 00:57:00,34:44,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
70,All-Star 2015 Los Angeles,2015 ASE,LeX,2015-12-13 02:09:00,29:46,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
71,All-Star 2015 Los Angeles,2015 ASE,MadLife,2015-12-11 06:59:00,22:22,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
72,All-Star 2015 Los Angeles,2015 ASE,MadLife,2015-12-12 05:38:00,33:05,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
73,All-Star 2015 Los Angeles,2015 ASE,MadLife,2015-12-12 22:43:00,33:06,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
74,All-Star 2015 Los Angeles,2015 ASE,MadLife,2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
75,All-Star 2015 Los Angeles,2015 ASE,MadLife,2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
76,All-Star 2015 Los Angeles,2015 ASE,MadLife,2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
77,All-Star 2015 Los Angeles,2015 ASE,MadLife,2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
78,All-Star 2015 Los Angeles,2015 ASE,MaRin,2015-12-11 06:59:00,22:22,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
79,All-Star 2015 Los Angeles,2015 ASE,MaRin,2015-12-12 05:38:00,33:05,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
80,All-Star 2015 Los Angeles,2015 ASE,MaRin,2015-12-12 22:43:00,33:06,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
81,All-Star 2015 Los Angeles,2015 ASE,MaRin,2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
82,All-Star 2015 Los Angeles,2015 ASE,MaRin,2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
83,All-Star 2015 Los Angeles,2015 ASE,MaRin,2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
84,All-Star 2015 Los Angeles,2015 ASE,MaRin,2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
85,All-Star 2015 Los Angeles,2015 ASE,Meteos,2015-12-11 01:05:00,27:33,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
86,All-Star 2015 Los Angeles,2015 ASE,Meteos,2015-12-12 00:57:00,34:44,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
87,All-Star 2015 Los Angeles,2015 ASE,Meteos,2015-12-13 03:59:00,39:10,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
88,All-Star 2015 Los Angeles,2015 ASE,Olleh,2015-12-11 04:39:00,29:04,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
89,All-Star 2015 Los Angeles,2015 ASE,Olleh,2015-12-12 03:52:00,31:24,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
90,All-Star 2015 Los Angeles,2015 ASE,Olleh,2015-12-13 02:09:00,29:46,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
91,All-Star 2015 Los Angeles,2015 ASE,PraY,2015-12-11 06:59:00,22:22,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
92,All-Star 2015 Los Angeles,2015 ASE,PraY,2015-12-12 05:38:00,33:05,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
93,All-Star 2015 Los Angeles,2015 ASE,PraY,2015-12-12 22:43:00,33:06,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
94,All-Star 2015 Los Angeles,2015 ASE,PraY,2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
95,All-Star 2015 Los Angeles,2015 ASE,PraY,2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
96,All-Star 2015 Los Angeles,2015 ASE,PraY,2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
97,All-Star 2015 Los Angeles,2015 ASE,PraY,2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
98,All-Star 2015 Los Angeles,2015 ASE,pyl (Chen Bo),2015-12-11 04:39:00,29:04,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
99,All-Star 2015 Los Angeles,2015 ASE,pyl (Chen Bo),2015-12-12 05:38:00,33:05,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
100,All-Star 2015 Los Angeles,2015 ASE,pyl (Chen Bo),2015-12-13 03:59:00,39:10,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
101,All-Star 2015 Los Angeles,2015 ASE,Rekkles,2015-12-11 01:05:00,27:33,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
102,All-Star 2015 Los Angeles,2015 ASE,Rekkles,2015-12-12 03:52:00,31:24,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
103,All-Star 2015 Los Angeles,2015 ASE,Rekkles,2015-12-12 22:43:00,33:06,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
104,All-Star 2015 Los Angeles,2015 ASE,Rekkles,2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
105,All-Star 2015 Los Angeles,2015 ASE,Rekkles,2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
106,All-Star 2015 Los Angeles,2015 ASE,Rekkles,2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
107,All-Star 2015 Los Angeles,2015 ASE,Rekkles,2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
108,All-Star 2015 Los Angeles,2015 ASE,Rookie,2015-12-11 04:39:00,29:04,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
109,All-Star 2015 Los Angeles,2015 ASE,Rookie,2015-12-12 05:38:00,33:05,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
110,All-Star 2015 Los Angeles,2015 ASE,Rookie,2015-12-13 03:59:00,39:10,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
111,All-Star 2015 Los Angeles,2015 ASE,Score,2015-12-11 06:59:00,22:22,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
112,All-Star 2015 Los Angeles,2015 ASE,Score,2015-12-12 05:38:00,33:05,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
113,All-Star 2015 Los Angeles,2015 ASE,Score,2015-12-12 22:43:00,33:06,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
114,All-Star 2015 Los Angeles,2015 ASE,Score,2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
115,All-Star 2015 Los Angeles,2015 ASE,Score,2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
116,All-Star 2015 Los Angeles,2015 ASE,Score,2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
117,All-Star 2015 Los Angeles,2015 ASE,Score,2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
118,All-Star 2015 Los Angeles,2015 ASE,Smurf (Dmitri Ivanov),2015-12-11 06:59:00,22:22,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
119,All-Star 2015 Los Angeles,2015 ASE,Smurf (Dmitri Ivanov),2015-12-12 00:57:00,34:44,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
120,All-Star 2015 Los Angeles,2015 ASE,Smurf (Dmitri Ivanov),2015-12-13 02:09:00,29:46,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
121,All-Star 2015 Los Angeles,2015 ASE,Uzi (Jian Zi-Hao),2015-12-11 04:39:00,29:04,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
122,All-Star 2015 Los Angeles,2015 ASE,Uzi (Jian Zi-Hao),2015-12-12 05:38:00,33:05,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
123,All-Star 2015 Los Angeles,2015 ASE,Uzi (Jian Zi-Hao),2015-12-13 03:59:00,39:10,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
124,All-Star 2015 Los Angeles,2015 ASE,Westdoor,2015-12-11 04:39:00,29:04,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
125,All-Star 2015 Los Angeles,2015 ASE,Westdoor,2015-12-12 03:52:00,31:24,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
126,All-Star 2015 Los Angeles,2015 ASE,Westdoor,2015-12-13 02:09:00,29:46,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
127,All-Star 2015 Los Angeles,2015 ASE,Ziv (Chen Yi),2015-12-11 04:39:00,29:04,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
128,All-Star 2015 Los Angeles,2015 ASE,Ziv (Chen Yi),2015-12-12 03:52:00,31:24,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
129,All-Star 2015 Los Angeles,2015 ASE,Ziv (Chen Yi),2015-12-13 02:09:00,29:46,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
130,IWCI 2015,2015 IWCI,007x,2015-04-21 16:00:00,29:40,Bangkok Titans,Beşiktaş Esports,1,0,Bangkok Titans,,,,,,,
131,IWCI 2015,2015 IWCI,007x,2015-04-21 19:00:00,45:10,Bangkok Titans,Hard Random,1,0,Bangkok Titans,,,,,,,
132,IWCI 2015,2015 IWCI,007x,2015-04-22 15:00:00,27:38,DetonatioN FocusMe,Bangkok Titans,0,1,Bangkok Titans,DetonatioN FocusMe,Aria,,South Korea,2000-10-14,Japan,DFM
133,IWCI 2015,2015 IWCI,007x,2015-04-22 15:00:00,27:38,DetonatioN FocusMe,Bangkok Titans,0,1,Bangkok Titans,DetonatioN FocusMe,Ceros,,Japan,1993-12-07,Japan,DFM
134,IWCI 2015,2015 IWCI,007x,2015-04-22 15:00:00,27:38,DetonatioN FocusMe,Bangkok Titans,0,1,Bangkok Titans,DetonatioN FocusMe,Gismo,Japan,,1998-01-10,Japan,DFM
135,IWCI 2015,2015 IWCI,007x,2015-04-22 15:00:00,27:38,DetonatioN FocusMe,Bangkok Titans,0,1,Bangkok Titans,DetonatioN FocusMe,Harp,,South Korea,2001-06-03,Japan,DFM
136,IWCI 2015,2015 IWCI,007x,2015-04-22 15:00:00,27:38,DetonatioN FocusMe,Bangkok Titans,0,1,Bangkok Titans,DetonatioN FocusMe,Kazu,Japan,France,1994-05-25,Japan,DFM
137,IWCI 2015,2015 IWCI,007x,2015-04-22 15:00:00,27:38,DetonatioN FocusMe,Bangkok Titans,0,1,Bangkok Titans,DetonatioN FocusMe,Milan,,Japan,2001-06-26,Japan,DFM
138,IWCI 2015,2015 IWCI,007x,2015-04-22 15:00:00,27:38,DetonatioN FocusMe,Bangkok Titans,0,1,Bangkok Titans,DetonatioN FocusMe,Steal,,South Korea,1998-12-15,Japan,DFM
139,IWCI 2015,2015 IWCI,007x,2015-04-22 15:00:00,27:38,DetonatioN FocusMe,Bangkok Titans,0,1,Bangkok Titans,DetonatioN FocusMe,tol2,,Japan,2002-10-17,Japan,DFM
140,IWCI 2015,2015 IWCI,007x,2015-04-22 15:00:00,27:38,DetonatioN FocusMe,Bangkok Titans,0,1,Bangkok Titans,DetonatioN FocusMe,Yutapon,,Japan,1996-09-10,Japan,DFM
141,IWCI 2015,2015 IWCI,007x,2015-04-22 18:00:00,29:30,INTZ,Bangkok Titans,1,0,INTZ,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
142,IWCI 2015,2015 IWCI,007x,2015-04-22 18:00:00,29:30,INTZ,Bangkok Titans,1,0,INTZ,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
143,IWCI 2015,2015 IWCI,007x,2015-04-22 18:00:00,29:30,INTZ,Bangkok Titans,1,0,INTZ,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
144,IWCI 2015,2015 IWCI,007x,2015-04-22 18:00:00,29:30,INTZ,Bangkok Titans,1,0,INTZ,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
145,IWCI 2015,2015 IWCI,007x,2015-04-22 18:00:00,29:30,INTZ,Bangkok Titans,1,0,INTZ,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
146,IWCI 2015,2015 IWCI,007x,2015-04-22 18:00:00,29:30,INTZ,Bangkok Titans,1,0,INTZ,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
147,IWCI 2015,2015 IWCI,007x,2015-04-22 18:00:00,29:30,INTZ,Bangkok Titans,1,0,INTZ,INTZ,Strazzi,,Brazil,,Brazil,ITZ
148,IWCI 2015,2015 IWCI,007x,2015-04-22 18:00:00,29:30,INTZ,Bangkok Titans,1,0,INTZ,INTZ,Thominhas,,,,Brazil,ITZ
149,IWCI 2015,2015 IWCI,007x,2015-04-22 18:00:00,29:30,INTZ,Bangkok Titans,1,0,INTZ,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
150,IWCI 2015,2015 IWCI,007x,2015-04-22 18:00:00,29:30,INTZ,Bangkok Titans,1,0,INTZ,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
151,IWCI 2015,2015 IWCI,007x,2015-04-23 14:00:00,28:26,Kaos Latin Gamers,Bangkok Titans,0,1,Bangkok Titans,,,,,,,
152,IWCI 2015,2015 IWCI,007x,2015-04-23 17:00:00,35:05,Bangkok Titans,Chiefs Esports Club,1,0,Bangkok Titans,,,,,,,
153,IWCI 2015,2015 IWCI,007x,2015-04-24 18:00:00,39:39,Bangkok Titans,Beşiktaş Esports,0,1,Beşiktaş Esports,,,,,,,
154,IWCI 2015,2015 IWCI,007x,2015-04-24 18:00:00,39:39,Bangkok Titans,Beşiktaş Esports,0,1,Beşiktaş Esports,,,,,,,
155,IWCI 2015,2015 IWCI,007x,2015-04-24 18:00:00,39:39,Bangkok Titans,Beşiktaş Esports,0,1,Beşiktaş Esports,,,,,,,
156,IWCI 2015,2015 IWCI,007x,2015-04-24 19:00:00,34:16,Beşiktaş Esports,Bangkok Titans,2,0,Beşiktaş Esports,Beşiktaş Esports,Absolute,,Turkey,1999-08-24,EMEA,BJK
157,IWCI 2015,2015 IWCI,007x,2015-04-24 19:00:00,34:16,Beşiktaş Esports,Bangkok Titans,2,0,Beşiktaş Esports,Beşiktaş Esports,ANDARIEL,,Turkey,,EMEA,BJK
158,IWCI 2015,2015 IWCI,007x,2015-04-24 19:00:00,34:16,Beşiktaş Esports,Bangkok Titans,2,0,Beşiktaş Esports,Beşiktaş Esports,Kireas,Turkey,Denmark,,EMEA,BJK
159,IWCI 2015,2015 IWCI,007x,2015-04-24 19:00:00,34:16,Beşiktaş Esports,Bangkok Titans,2,0,Beşiktaş Esports,Beşiktaş Esports,KSAEZ,,Turkey,,EMEA,BJK
160,IWCI 2015,2015 IWCI,007x,2015-04-24 19:00:00,34:16,Beşiktaş Esports,Bangkok Titans,2,0,Beşiktaş Esports,Beşiktaş Esports,Lykia,,Turkey,,EMEA,BJK
161,IWCI 2015,2015 IWCI,007x,2015-04-24 19:00:00,34:16,Beşiktaş Esports,Bangkok Titans,2,0,Beşiktaş Esports,Beşiktaş Esports,NuQ,,Turkey,2003-05-12,EMEA,BJK
162,IWCI 2015,2015 IWCI,007x,2015-04-24 19:00:00,34:16,Beşiktaş Esports,Bangkok Titans,2,0,Beşiktaş Esports,Beşiktaş Esports,Zetsu,,Turkey,,EMEA,BJK
163,IWCI 2015,2015 IWCI,007x,2015-04-24 19:00:00,34:16,Beşiktaş Esports,Bangkok Titans,2,0,Beşiktaş Esports,Beşiktaş Esports,Absolute,,Turkey,1999-08-24,EMEA,BJK
164,IWCI 2015,2015 IWCI,007x,2015-04-24 19:00:00,34:16,Beşiktaş Esports,Bangkok Titans,2,0,Beşiktaş Esports,Beşiktaş Esports,ANDARIEL,,Turkey,,EMEA,BJK
165,IWCI 2015,2015 IWCI,007x,2015-04-24 19:00:00,34:16,Beşiktaş Esports,Bangkok Titans,2,0,Beşiktaş Esports,Beşiktaş Esports,Kireas,Turkey,Denmark,,EMEA,BJK
166,IWCI 2015,2015 IWCI,007x,2015-04-24 19:00:00,34:16,Beşiktaş Esports,Bangkok Titans,2,0,Beşiktaş Esports,Beşiktaş Esports,KSAEZ,,Turkey,,EMEA,BJK
167,IWCI 2015,2015 IWCI,007x,2015-04-24 19:00:00,34:16,Beşiktaş Esports,Bangkok Titans,2,0,Beşiktaş Esports,Beşiktaş Esports,Lykia,,Turkey,,EMEA,BJK
168,IWCI 2015,2015 IWCI,007x,2015-04-24 19:00:00,34:16,Beşiktaş Esports,Bangkok Titans,2,0,Beşiktaş Esports,Beşiktaş Esports,NuQ,,Turkey,2003-05-12,EMEA,BJK
